시점,분류,전과없음,1범,2범,3범,4범,5범,6범,7범,8범,9범이상
2016,상해,16340,8018,6129,4812,3705,3158,2591,2034,1766,12106
2016,폭행,32232,15941,11367,9033,7031,5888,4682,3821,2970,21128
2016,체포·감금,294,168,133,94,73,50,47,44,18,211
2016,협박,2989,1761,1299,1021,863,682,515,443,381,2495
2016,약취·유인,83,21,23,18,10,9,1,7,4,44
2016,폭력행위등,14017,4941,3145,2286,1644,1302,1063,799,669,4229
2016,공갈,758,289,201,167,122,109,100,81,66,797
2016,손괴,7933,4241,3180,2463,1906,1576,1241,980,819,5489
2017,상해,14832,7291,5509,4299,3254,2809,2246,1796,1539,10543
2017,폭행,31168,14877,11275,8631,6738,5527,4376,3458,3019,20121
2017,체포·감금,355,166,114,115,77,63,48,41,43,226
2017,협박,3075,1621,1289,999,802,634,484,427,338,2408
2017,약취·유인,78,26,25,9,8,12,4,3,3,30
2017,폭력행위등,13015,4337,2895,2077,1499,1120,906,662,543,3452
2017,공갈,835,330,218,145,129,129,99,67,57,623
2017,손괴,7721,4114,3077,2329,1865,1550,1228,977,803,5717
2018,상해,13250,6222,4743,3795,2933,2433,1957,1592,1254,9828
2018,폭행,30972,14742,10746,8512,6751,5393,4309,3477,2757,19794
2018,체포·감금,288,110,100,63,58,51,40,30,30,192
2018,협박,3276,1755,1294,1049,832,683,538,457,352,2509
2018,약취·유인,74,35,12,11,10,11,3,5,1,18
2018,폭력행위등,11231,3596,2292,1618,1286,985,743,657,463,3305
2018,공갈,865,277,205,160,126,90,87,69,53,505
2018,손괴,7837,4105,3048,2379,1858,1548,1170,999,796,5690
2019,상해,12236,5757,4330,3451,2641,2334,1820,1460,1200,8981
2019,폭행,31832,14959,11054,8512,6530,5435,4232,3566,2759,20528
2019,체포·감금,303,117,93,58,58,40,42,29,24,211
2019,협박,3956,2094,1569,1245,1020,780,691,547,446,3115
2019,약취·유인,80,23,22,8,12,12,7,7,2,39
2019,폭력행위등,10226,3160,1994,1427,1079,810,645,503,441,2891
2019,공갈,1012,245,175,135,102,112,86,77,60,496
2019,손괴,8618,4421,3332,2580,1909,1575,1279,1018,884,5912
2020,상해,10668,4985,3789,3100,2340,2025,1653,1325,1092,8282
2020,폭행,28276,13404,9638,7830,5975,4946,3894,3176,2488,18909
2020,체포·감금,267,131,103,67,47,42,45,31,26,217
2020,협박,4004,2020,1553,1194,1040,831,682,564,409,3096
2020,약취·유인,63,34,13,12,2,8,1,3,3,41
2020,폭력행위등,8464,2786,1783,1336,937,794,591,462,431,2809
2020,공갈,847,287,201,124,92,99,78,67,50,474
2020,손괴,8695,4258,3183,2487,1927,1607,1258,997,865,6092
