시점,분류,계,전치2주이하,전치1개월이하,전치2개월이하,전치4개월이하,전치6개월이하,전치6개월초과
2016,폭행,6513,4899,1176,323,93,12,10
2016,상해,49703,34808,11561,2664,493,110,67
2016,협박,189,149,32,8,-,-,-
2016,공갈,34,25,5,2,2,-,-
2016,약취·유인,6,4,2,-,-,-,-
2016,폭력행위등,5682,3436,1700,443,79,17,7
2017,폭행,5450,3972,1053,323,76,17,9
2017,상해,44133,30041,10795,2641,462,110,84
2017,협박,168,127,29,9,3,-,-
2017,공갈,29,21,5,3,-,-,-
2017,약취·유인,4,1,1,2,-,-,-
2017,폭력행위등,4506,2593,1424,398,71,12,8
2018,폭행,5490,3933,1105,314,102,23,13
2018,상해,37041,24865,9243,2248,477,129,79
2018,협박,173,127,39,6,1,-,-
2018,공갈,32,31,1,-,-,-,-
2018,약취·유인,2,2,-,-,-,-,-
2018,폭력행위등,3325,1862,1083,313,52,9,6
2019,폭행,5053,3568,1065,307,98,7,8
2019,상해,34047,22935,8276,2225,442,97,72
2019,협박,194,145,40,7,2,-,-
2019,공갈,24,16,7,-,-,1,-
2019,약취·유인,3,3,-,-,-,-,-
2019,폭력행위등,2902,1610,944,295,41,7,5
2020,폭행,4475,3080,992,306,77,12,8
2020,상해,29844,19960,7315,2052,355,92,70
2020,협박,193,148,32,8,5,-,-
2020,공갈,20,15,4,1,-,-,-
2020,약취·유인,5,3,2,-,-,-,-
2020,폭력행위등,2482,1401,790,246,36,6,3
